Jahr;Geschlecht;Wahlbeteiligung;KPD;USPD;SPD;DDP;Zentrum;BVP;DVP;DNVP;NSDAP;Sonstige;CDU/CSU;AfD;Grüne;Linke;BSW;FDP;NPD;GB/BHE;DP;BP
1919;insgesamt;830;;76;379;186;159;38;44;103;;16;;;;;;;;;;
1920;insgesamt;792;21;176;219;83;136;44;139;151;;33;;;;;;;;;;
1924a;insgesamt;774;126;80;205;57;134;32;92;195;65;86;;;;;;;;;;
1924b;insgesamt;788;89;30;260;63;136;37;101;205;30;75;;;;;;;;;;
1928;insgesamt;756;106;10;298;49;121;31;87;143;26;139;;;;;;;;;;
1930;insgesamt;820;131;;245;38;118;30;48;70;183;138;;;;;;;;;;
1932a;insgesamt;841;146;;216;10;124;33;12;59;374;20;;;;;;;;;;
1932b;insgesamt;806;169;;204;10;119;31;19;87;331;26;;;;;;;;;;
1933;insgesamt;887;123;;183;90;113;27;11;80;439;16;;;;;;;;;;
1949;insgesamt;785;57;;292;;31;;;;;279;310;;;;;119;;;40;42
1953;insgesamt;860;22;;288;;;;;;;165;452;;;;;95;;59;73;
1957;insgesamt;878;;;318;;;;;;;103;502;;;;;77;;46;34;
1961;insgesamt;877;;;362;;;;;;;57;453;;;;;128;;;;
1965;insgesamt;868;;;393;;;;;;;36;476;;;;;95;20;;;
1969;insgesamt;867;;;427;;;;;;;54;461;;;;;58;43;;;
1972;insgesamt;911;;;458;;;;;;;90;449;;;;;84;;;;
1976;insgesamt;907;;;426;;;;;;;90;486;;;;;79;;;;
1980;insgesamt;886;;;429;;;;;;;50;445;;15;;;106;;;;
1983;insgesamt;891;;;382;;;;;;;40;488;;56;;;70;;;;
1987;insgesamt;843;;;370;;;;;;;13;443;;83;;;91;;;;
1990;insgesamt;778;;;335;;;;;;;42;438;;51;24;;11;;;;
1994;insgesamt;790;;;364;;;;;;;36;414;;73;44;;69;;;;
1998;insgesamt;822;;;409;;;;;;;60;351;;67;51;;62;;;;
2002;insgesamt;791;;;385;;;;;;;30;385;;86;40;;74;;;;
2005;insgesamt;777;;;342;;;;;;;40;352;;81;87;;98;;;;
2009;insgesamt;708;;;230;;;;;;;60;338;;107;119;;146;;;;
2013;insgesamt;715;;;257;;;;;;;63;415;47;84;86;;48;;;;
2017;insgesamt;762;;;205;;;;;;;52;329;126;89;92;;107;;;;
2021;insgesamt;764;;;257;;;;;;;87;242;104;147;49;;114;;;;
2025;insgesamt;825;;;164;;;;;;;46;286;208;116;88;49;43;;;;
