Nr;Gebiet;gehört_zu;Zeilentyp;Direktmandat_Gewinner;Land;Wahlberechtigte_Erststimmen_Endgültig;Wählende_Erststimmen_Endgültig;Ungültige Stimmen_Erststimmen_Endgültig;Ungültige Stimmen_Zweitstimmen_Endgültig;Gültige Stimmen_Erststimmen_Endgültig;Gültige Stimmen_Zweitstimmen_Endgültig;SPD_Erststimmen_Endgültig;SPD_Zweitstimmen_Endgültig;CDU_Erststimmen_Endgültig;CDU_Zweitstimmen_Endgültig;FDP_Erststimmen_Endgültig;FDP_Zweitstimmen_Endgültig;LINKE_Erststimmen_Endgültig;LINKE_Zweitstimmen_Endgültig;GRÜNE_Erststimmen_Endgültig;GRÜNE_Zweitstimmen_Endgültig;CSU_Erststimmen_Endgültig;CSU_Zweitstimmen_Endgültig;Sonstige_Erststimmen_Endgültig;Sonstige_Zweitstimmen_Endgültig;NPD_Erststimmen_Endgültig;NPD_Zweitstimmen_Endgültig;PIRATEN_Erststimmen_Endgültig;PIRATEN_Zweitstimmen_Endgültig
001;Flensburg - Schleswig;01;Wahlkreis;;SH;225216;163329;4117;4181;159212;159148;52139;41793;61793;51068;15292;24187;11918;13481;16399;21967;;;1671;6652;1302;1240;;3385
002;Nordfriesland - Dithmarschen Nord;01;Wahlkreis;;SH;187047;134671;3382;3218;131289;131453;36642;32239;56751;47947;15184;22605;8208;8836;12840;14927;;;1664;4899;1231;1126;;2233
003;Steinburg - Dithmarschen Süd;01;Wahlkreis;;SH;177604;128320;3348;3030;124972;125290;37277;31282;49779;43480;16037;21970;8896;9808;10665;12899;;;2318;5851;1603;1512;;2549
004;Rendsburg-Eckernförde;01;Wahlkreis;;SH;198910;150018;3404;3026;146614;146992;47610;39253;58876;49789;14317;23442;8729;9821;14790;18751;;;2292;5936;1344;1220;;2985
005;Kiel;01;Wahlkreis;;SH;200347;145483;3442;2263;142041;143220;54398;42369;42733;36397;12188;19156;11817;13430;18699;24659;;;2206;7209;1392;1275;;4267
006;Plön - Neumünster;01;Wahlkreis;;SH;175132;127971;3292;3031;124679;124940;41683;35557;48136;40110;12515;19772;7871;8936;12187;15701;;;2287;4864;1363;1315;;2281
007;Pinneberg;01;Wahlkreis;;SH;232899;176188;3384;3193;172804;172995;54950;45540;70458;57203;17018;28640;11794;13412;16143;20978;;;2441;7222;1912;1743;;3659
008;Segeberg - Stormarn-Nord;01;Wahlkreis;;SH;240010;180295;3674;3303;176621;176992;54065;44445;70290;58225;20084;31407;12527;14280;16633;21245;;;3022;7390;1797;1687;;3598
009;Ostholstein;01;Wahlkreis;;SH;179987;131917;4043;3094;127874;128823;43765;36329;49363;42193;14397;22701;8235;9342;10411;13651;;;1703;4607;1270;1192;;2062
010;Herzogtum Lauenburg - Stormarn-Süd;01;Wahlkreis;;SH;237144;181568;3884;3259;177684;178309;53073;45354;70874;59075;19742;30714;12351;13855;18761;22240;;;2883;7071;2330;2126;;3248
011;Lübeck;01;Wahlkreis;;SH;180424;124624;3524;3284;121100;121340;44393;36578;36745;32970;13296;17173;10973;12002;14098;16764;;;1595;5853;1595;1412;;3010
01;Schleswig-Holstein;01;Bundesland;;SH;2234720;1644384;39494;34882;1604890;1609502;519995;430739;615798;518457;170070;261767;113319;127203;161626;203782;;;24082;67554;17139;15848;;33277
012;Wismar - Nordwestmecklenburg - Parchim;13;Wahlkreis;;MV;216789;136923;2448;2114;134475;134809;27590;25047;45383;44340;9969;12865;40419;38466;6520;7139;;;4594;6952;3976;3766;;2745
013;Schwerin - Ludwigslust;13;Wahlkreis;;MV;183166;120292;2032;1728;118260;118564;30247;24464;34633;36653;9401;11405;33681;32623;6353;6833;;;3945;6586;3945;3598;;2579
014;Rostock;13;Wahlkreis;;MV;198527;130659;2157;1911;128502;128748;25389;23223;34517;34759;8517;12234;41539;40045;13727;10772;;;4813;7715;3215;2999;;4215
015;Stralsund - Nordvorpommern - Rügen;13;Wahlkreis;;MV;199517;119369;2063;2269;117306;117100;14040;15048;57865;43650;5668;13087;30935;33522;3735;5349;;;5063;6444;3262;3434;;2564
016;Greifswald - Demmin - Ostvorpommern;13;Wahlkreis;;MV;204944;123824;2460;2324;121364;121500;15995;14941;46147;44679;10414;12686;35385;34198;5736;6241;;;7687;8755;5552;5274;;2968
017;Bad Doberan - Güstrow - Müritz;13;Wahlkreis;;MV;211429;132878;2616;2326;130262;130552;28457;22778;45176;44654;9485;13038;35601;36412;6255;6762;;;5288;6908;4118;3869;;2525
018;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;13;Wahlkreis;;MV;185926;118231;2691;2237;115540;115994;19696;18106;38102;38746;8015;9888;37851;36270;4500;4745;;;7376;8239;5733;5283;;2467
13;Mecklenburg-Vorpommern;13;Bundesland;;MV;1400298;882176;16467;14909;865709;867267;161414;143607;301823;287481;61469;85203;255411;251536;46826;47841;;;38766;51599;29801;28223;;20063
019;Hamburg-Mitte;02;Wahlkreis;;HH;252967;167220;2727;2089;164493;165131;56809;46419;43587;38689;12818;19105;21718;22702;27213;27865;;;2348;10351;2348;1822;;6303
020;Hamburg-Altona;02;Wahlkreis;;HH;173956;130630;1475;1294;129155;129336;46522;32633;38969;33916;10517;17028;12605;15670;17799;24462;;;2743;5627;771;795;;3344
021;Hamburg-Eimsbüttel;02;Wahlkreis;;HH;186357;142023;1891;1298;140132;140725;33364;37722;43714;37695;11732;18851;12540;14732;36518;25819;;;2264;5906;969;799;;3531
022;Hamburg-Nord;02;Wahlkreis;;HH;207016;163012;1821;1357;161191;161655;53469;40909;61873;50174;12766;25269;10805;13429;21268;26306;;;1010;5568;1010;794;;3289
023;Hamburg-Wandsbek;02;Wahlkreis;;HH;217147;150049;2126;1686;147923;148363;51460;42705;53958;44770;11408;20181;14021;16205;13914;17518;;;3162;6984;1972;1674;;3158
024;Hamburg-Bergedorf - Harburg;02;Wahlkreis;;HH;219191;143119;2355;1991;140764;141128;54965;42554;46303;41423;10727;16709;14430;16358;11728;16484;;;2611;7600;2111;1795;;3543
02;Hamburg;02;Bundesland;;HH;1256634;896053;12395;9715;883658;886338;296589;242942;288404;246667;69968;117143;86119;99096;128440;138454;;;14138;42036;9181;7679;;23168
025;Aurich - Emden;03;Wahlkreis;;NI;189804;132885;2439;2121;130446;130764;57876;50682;33706;32155;9314;13619;13213;14978;14451;13641;;;1886;5689;1886;1712;;2015
026;Unterems;03;Wahlkreis;;NI;231076;164653;2392;2136;162261;162517;47481;44913;73405;63545;15470;20731;12062;14219;11981;12222;;;1862;6887;1862;1707;;2899
