Bundesland;Geschlecht;Partei;Insgesamt_1000;Insgesamt_Pct;Alter_18_25_1000;Alter_18_25_Pct;Alter_25_35_1000;Alter_25_35_Pct;Alter_35_45_1000;Alter_35_45_Pct;Alter_45_60_1000;Alter_45_60_Pct;Alter_60_70_1000;Alter_60_70_Pct;Alter_70plus_1000;Alter_70plus_Pct
Schleswig-Holstein;Insgesamt;CDU;708.702;43.55887346;38.40724874;33.78488609;67.00151376;38.86126407;95.93923718;43.32921053;180.7078953;37.6435869;118.2206732;44.38462312;208.4254318;55.86611611
Schleswig-Holstein;Insgesamt;SPD;596.882;36.68609304;41.23853618;36.27542439;55.41874987;32.14319427;72.56338918;32.77193418;189.1730668;39.40698202;107.7595842;40.45712482;130.7286737;35.04036528
Schleswig-Holstein;Insgesamt;FDP;37.526;2.306456431;2.855080142;2.51146751;3.87390472;2.24688706;4.420573186;1.996471432;10.51444185;2.190282304;6.44165722;2.418447808;9.420342887;2.525018012
Schleswig-Holstein;Insgesamt;DIE LINKE;66.183;4.067798485;5.984125643;5.263928291;10.42752717;6.048025844;9.874017332;4.459420236;23.37352107;4.868980241;10.10858711;3.795155425;6.415221672;1.719528733
Schleswig-Holstein;Insgesamt;GRÜNE;111.921;6.878988173;12.46444194;10.96433004;15.90812588;9.226804678;19.56392064;8.835688725;43.72947598;9.109365844;12.42547312;4.665004237;7.829562439;2.098627027
Schleswig-Holstein;Insgesamt;Sonstige;105.784;6.501790414;12.73231438;11.19996368;19.78225878;11.47382409;19.05816832;8.607274895;32.55121746;6.780802694;11.39904833;4.279644585;10.26099272;2.750344839
Schleswig-Holstein;Insgesamt;dar. PIRATEN;31.621;1.943518062;7.650709912;6.729936962;8.820238155;5.115788955;6.000959197;2.710224013;7.157467851;1.49098501;1.392584652;0.522830257;0.599040233;0.160566064
Schleswig-Holstein;Insgesamt;dar. NPD;11.031;0.677997146;1.334469085;1.173863984;2.682527793;1.555881577;2.83163992;1.278858638;2.743704633;0.57154605;0.745646551;0.279944618;0.693012019;0.185754155
Schleswig-Holstein;Insgesamt;dar. AfD;58.681;3.60670388;3.688783765;3.244833812;7.665288189;4.44591132;9.198889009;4.154510816;20.99585358;4.373684046;8.804723154;3.305634355;8.327462302;2.232083541
Schleswig-Holstein;Männer;CDU;328.2064751;41.88917726;18.71717925;32.13741878;32.05173717;37.61391928;46.13144416;43.08151616;88.227266;37.18996382;53.50200737;41.86502495;89.57684115;53.33607722
Schleswig-Holstein;Männer;SPD;294.6464488;37.6058922;21.85975174;37.53321944;27.42013719;32.17856247;34.90991691;32.60188742;95.02832359;40.05677696;53.98869926;42.24585867;61.43962011;36.58253942
Schleswig-Holstein;Männer;FDP;19.39551302;2.47546025;2.080690402;3.572547867;2.128423488;2.49778503;2.569352146;2.399482349;5.538858632;2.33476522;3.113415931;2.436230752;3.964772418;2.360715171
Schleswig-Holstein;Männer;DIE LINKE;34.23600118;4.369560113;3.26569738;5.607206242;5.126896434;6.016605827;4.7279169;4.415336047;12.04747079;5.078305415;5.325491393;4.167167571;3.74252829;2.228385991
Schleswig-Holstein;Männer;GRÜNE;42.95676263;5.482595807;4.081647552;7.008193648;6.397479195;7.507682495;7.266701003;6.786271324;16.77564485;7.07134714;5.445164345;4.260810993;2.990125679;1.780388459
