Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
Bund;Erststimme;Summe;Summe;49928653;423264;12604184;9936433;10177318;1622912;3933297;5443393;3272064;2515788;1254565;299401
Bund;Erststimme;Summe;2001 – 2007;3396728;20857;460874;664422;622309;156426;691867;444805;133099;202067;78817;19268
Bund;Erststimme;Summe;1991 – 2000;6214725;35360;965210;1053162;1251724;269350;884000;1029044;291474;435402;190045;30672
Bund;Erststimme;Summe;1981 – 1990;7515049;49859;1561552;1135279;1974236;246510;629307;1012674;423985;481646;235335;45620
Bund;Erststimme;Summe;1966 – 1980;12067460;85200;3073209;2021756;3032078;354695;715071;1322895;803858;658698;356815;67164
Bund;Erststimme;Summe;1956 – 1965;9745239;87955;2642975;2143166;2034073;258748;500181;957739;695879;424524;232560;62883
Bund;Erststimme;Summe;1955 und früher;10989452;144033;3900364;2918648;1262898;337183;512870;676237;923769;313451;160993;73793
Bund;Erststimme;m;Summe;24373519;192534;6216381;4434228;5924711;829255;1647873;2369737;1616071;1142728;565828;126474
Bund;Erststimme;m;2001 – 2007;1710816;11453;275698;298749;410338;101262;240043;188513;79313;105447;42359;8754
Bund;Erststimme;m;1991 – 2000;3128680;17796;517404;482986;759479;156643;372481;452477;152936;216478;95818;14024
Bund;Erststimme;m;1981 – 1990;3788185;23507;789961;511041;1154625;127736;284742;459803;215907;220864;107334;18633
Bund;Erststimme;m;1966 – 1980;6031021;37600;1572595;907879;1773439;169685;295835;582212;406728;285046;154108;25984
Bund;Erststimme;m;1956 – 1965;4799597;40653;1327649;985827;1158895;120204;225994;409194;345384;185798;103405;26033
Bund;Erststimme;m;1955 und früher;4915220;61526;1733073;1247745;667934;153725;228779;277538;415803;129095;62804;33047
Bund;Erststimme;w;Summe;25555134;230730;6387803;5502205;4252607;793657;2285424;3073656;1655993;1373060;688737;172927
Bund;Erststimme;w;2001 – 2007;1685912;9404;185176;365673;211971;55164;451824;256292;53787;96620;36458;10514
Bund;Erststimme;w;1991 – 2000;3086045;17564;447805;570176;492245;112707;511520;576567;138537;218924;94227;16649
Bund;Erststimme;w;1981 – 1990;3726864;26352;771591;624238;819611;118775;344566;552871;208078;260782;128001;26987
Bund;Erststimme;w;1966 – 1980;6036439;47600;1500614;1113876;1258638;185009;419236;740682;397130;373653;202706;41180
Bund;Erststimme;w;1956 – 1965;4945642;47302;1315325;1157339;875178;138545;274187;548545;350495;238726;129155;36850
Bund;Erststimme;w;1955 und früher;6074233;82508;2167291;1670903;594963;183457;284090;398699;507966;184355;98189;40746
Bund;Zweitstimme;Summe;Summe;49928653;279141;11196374;8149124;10328780;2148757;4356532;5762380;2964028;4743537;769279;2472947
Bund;Zweitstimme;Summe;2001 – 2007;3396728;13506;337620;381835;641153;191006;922034;398134;100800;410641;43511;192219
Bund;Zweitstimme;Summe;1991 – 2000;6214725;18520;758646;682423;1291174;319398;1088429;984471;240777;830886;114986;355935
Bund;Zweitstimme;Summe;1981 – 1990;7515049;28132;1324947;835953;2029657;304855;651165;1081041;375619;883681;136335;419531
Bund;Zweitstimme;Summe;1966 – 1980;12067460;50294;2726872;1651948;3085887;486008;710079;1471118;725257;1159996;208732;606526
Bund;Zweitstimme;Summe;1956 – 1965;9745239;56053;2411584;1885472;2031398;358112;492471;1064105;649876;796167;146080;472455
Bund;Zweitstimme;Summe;1955 und früher;10989452;112635;3636705;2711493;1249511;489378;492355;763511;871699;662166;119634;426281
Bund;Zweitstimme;m;Summe;24373519;120417;5536802;3611758;6095875;1171729;1767791;2583316;1461963;2023867;339792;1049831
Bund;Zweitstimme;m;2001 – 2007;1710816;7660;203640;190215;429930;127708;299295;188255;60259;203854;23699;89781
