Jahr;Geschlecht;Wahlbeteiligung;CDU;SPD;GRUENE;FDP;DIE_LINKE;AfD;BSW;Sonstige
2002;insgesamt;771;326;356;182;77;;;;59
2002;weiblich;766;324;369;188;67;;;;52
2002;maennlich;777;329;342;175;88;;;;67
2005;insgesamt;775;294;305;177;122;66;;;37
2005;weiblich;768;299;302;194;114;53;;;37
2005;maennlich;784;288;308;156;131;81;;;36
2009;insgesamt;73;257;232;177;168;115;;;51
2009;weiblich;718;285;242;192;148;97;;;37
2009;maennlich;743;228;222;162;189;135;;;65
2013;insgesamt;73;321;274;153;58;10;51;;43
2013;weiblich;723;349;274;169;47;91;35;;35
2013;maennlich;738;291;274;137;68;11;68;;52
2017;insgesamt;717;249;223;14;118;128;99;;44
2017;weiblich;72;28;224;156;10;123;73;;44
2017;maennlich;714;216;222;124;136;133;127;;43
2021;insgesamt;778;175;236;243;139;71;53;;82
2021;weiblich;786;182;248;266;115;64;38;;86
2021;maennlich;769;168;222;217;167;78;7;;78
2025;insgesamt;799;246;18;178;59;147;104;47;39
2025;weiblich;805;243;194;184;45;167;79;45;41
2025;maennlich;792;25;164;171;74;125;131;5;36
