jahr;ereignis;kategorie;erklaerung;link
1919;Wahl zur Deutschen Nationalversammlung;Wahl;Erstmals dürfen alle Deutschen wählen, Männer und Frauen. Es ist die Geburtsstunde der Weimarer Republik.;https://de.wikipedia.org/wiki/Wahl_zur_Deutschen_Nationalversammlung
1920;Erste Reichstagswahl;Wahl;Erste reguläre Reichstagswahl nach der Nationalversammlung. Die USPD gewinnt stark hinzu, die Mitte bleibt aber stabil. Ein Stimmungsbild der jungen, noch unsicheren Demokratie.;https://de.wikipedia.org/wiki/Reichstagswahl_1920
1922;Hyperinflation;Wirtschaft;Die Inflation vernichtet Ersparnisse der Mittelschicht. Vertrauen in die Regierung bricht ein und ein Nährboden für Extremparteien.;https://de.wikipedia.org/wiki/Deutsche_Inflation_1914_bis_1923
1923;Hitlerputsch;Politik;Gescheiterter Putschversuch der NSDAP in München. Zeigt die Fragilität der jungen Demokratie.;https://de.wikipedia.org/wiki/Hitlerputsch
1924;Zwei Reichstagswahlen 1924;Wahl;Deutschland w�hlt zweimal in einem Jahr. Im Mai gewinnen Rand�parteien nach der Hyperinflation deutlich, im Dezember beruhigt sich die Lage wieder � die NSDAP verliert sp�rbar an Stimmen.;https://de.wikipedia.org/wiki/Reichstagswahl_Mai_1924
1929;Weltwirtschaftskrise;Wirtschaft;Massenarbeitslosigkeit nach dem Schwarzen Freitag. Extremparteien links und rechts gewinnen massiv an Zustimmung.;https://de.wikipedia.org/wiki/Weltwirtschaftskrise
1930;NSDAP wird zweitstäkste Kraft;Wahl;Bei der Reichstagswahl springt die NSDAP von 2,6% auf 18,3%. Der Aufstieg beginnt.;https://de.wikipedia.org/wiki/Nationalsozialistische_Deutsche_Arbeiterpartei#In%20der%20Weimarer%20Republik%201920%E2%80%931933:~:text=Nichtw%C3%A4hlerlager%20gewechselt%20waren.-,Wahlerfolge%20ab%201930,-Er%C3%B6ffnung%20des%205
1932;Zwei Reichstagswahlen 1932;Wahl;Auch 1932 w�hlt Deutschland zweimal. Die NSDAP wird im Juli mit gro�em Abstand st�rkste Kraft und bleibt es auch im November, leicht geschw�cht. Eine stabile Regierungsbildung wird unm�glich � die letzte halbwegs freie Wahl vor der Machtergreifung.;https://de.wikipedia.org/wiki/Reichstagswahl_Juli_1932
1933;Machtergreifung Hitler;Politik;Hitler wird Reichskanzler. Das Ende der Weimarer Republik und der freien Wahlen in Deutschland.;https://de.wikipedia.org/wiki/Machtergreifung
1945;Ende des Zweiten Weltkriegs;Politik;Deutschland liegt in Trümmern. Die Demokratie muss neu aufgebaut werden, diesmal stabiler.;https://de.wikipedia.org/wiki/Zweiter_Weltkrieg#Nachwirkungen:~:text=%5B405%5D-,Nachwirkungen,-Infolge%20des%20Zweiten
